id,cidade,cidade_estado,latitude,longitude,estado,valor
1485,CARBONITA,CARBONITA - MG,-17.52,-43.01,MG,56117.71318
1486,CAREACU,CAREACU - MG,-22.04,-45.69,MG,33705.24829
1487,CARLOS CHAGAS,CARLOS CHAGAS - MG,-17.7,-40.76,MG,160518.0552
1488,CARMESIA,CARMESIA - MG,-19.08,-43.14,MG,13925.02823
1489,CARMO DA CACHOEIRA,CARMO DA CACHOEIRA - MG,-21.46,-45.22,MG,73437.92316
1490,CARMO DA MATA,CARMO DA MATA - MG,-20.55,-44.87,MG,66424.98236
1491,CARMO DE MINAS,CARMO DE MINAS - MG,-22.12,-45.12,MG,76960.17422
1492,CARMO DO CAJURU,CARMO DO CAJURU - MG,-20.18,-44.77,MG,97252.40003
1493,CARMO DO PARANAIBA,CARMO DO PARANAIBA - MG,-19,-46.31,MG,180387.3624
1494,CARMO DO RIO CLARO,CARMO DO RIO CLARO - MG,-20.97,-46.11,MG,122762.6542
1495,CARMOPOLIS DE MINAS,CARMOPOLIS DE MINAS - MG,-20.54,-44.63,MG,93991.23477
1496,CARNEIRINHO,CARNEIRINHO - MG,-19.69,-50.68,MG,58681.51206
1497,CARRANCAS,CARRANCAS - MG,-21.48,-44.64,MG,25314.29918
1498,CARVALHOPOLIS,CARVALHOPOLIS - MG,-21.77,-45.84,MG,17893.74999
1499,CARVALHOS,CARVALHOS - MG,-22,-44.46,MG,31722.11979
1500,CASA GRANDE,CASA GRANDE - MG,-20.79,-43.93,MG,13766.77379
1501,CASCALHO RICO,CASCALHO RICO - MG,-18.57,-47.87,MG,14371.934
1502,CASSIA,CASSIA - MG,-20.58,-46.92,MG,111122.4281
1503,CATAGUASES,CATAGUASES - MG,-21.38,-42.69,MG,419096.3069
1504,CATAS ALTAS,CATAS ALTAS - MG,-20.07,-43.4,MG,26845.15214
1505,CATAS ALTAS DA NORUEGA,CATAS ALTAS DA NORUEGA - MG,-20.69,-43.49,MG,21266.40037
1506,CATUJI,CATUJI - MG,-17.31,-41.51,MG,37519.15912
1507,CATUTI,CATUTI - MG,-15.35,-42.96,MG,32152.78062
1508,CAXAMBU,CAXAMBU - MG,-21.97,-44.93,MG,132396.2151
1509,CEDRO DO ABAETE,CEDRO DO ABAETE - MG,-19.14,-45.71,MG,8371.56485
1510,CENTRAL DE MINAS,CENTRAL DE MINAS - MG,-18.76,-41.3,MG,37754.4734
1511,CENTRALINA,CENTRALINA - MG,-18.58,-49.19,MG,66136.76086
1512,CHACARA,CHACARA - MG,-21.67,-43.22,MG,29373.48633
1513,CHALE,CHALE - MG,-20.04,-41.68,MG,35848.67814
1514,CHAPADA DO NORTE,CHAPADA DO NORTE - MG,-17.08,-42.53,MG,94825.90302
1515,CHAPADA GAUCHA,CHAPADA GAUCHA - MG,-15.3,-45.61,MG,33080.2016
1516,CHIADOR,CHIADOR - MG,-22,-43.05,MG,20027.18319
1517,CIPOTANEA,CIPOTANEA - MG,-20.9,-43.36,MG,39454.27836
1518,CLARAVAL,CLARAVAL - MG,-20.39,-47.26,MG,23695.11515
1519,CLARO DOS POCOES,CLARO DOS POCOES - MG,-17.08,-44.2,MG,49169.57618
1520,CLAUDIO,CLAUDIO - MG,-20.44,-44.76,MG,131849.4737
1521,COIMBRA,COIMBRA - MG,-20.85,-42.8,MG,36810.00957
1522,COLUNA,COLUNA - MG,-18.23,-42.84,MG,57660.80161
1523,COMENDADOR GOMES,COMENDADOR GOMES - MG,-19.69,-49.08,MG,17814.14058
1524,COMERCINHO,COMERCINHO - MG,-16.29,-41.79,MG,67082.24501
1525,CONCEICAO DA APARECIDA,CONCEICAO DA APARECIDA - MG,-21.09,-46.2,MG,57560.52409
1526,CONCEICAO DA BARRA DE MINAS,CONCEICAO DA BARRA DE MINAS - MG,-21.12,-44.47,MG,27730.88012
1527,CONCEICAO DAS ALAGOAS,CONCEICAO DAS ALAGOAS - MG,-19.91,-48.38,MG,93052.58313
1528,CONCEICAO DAS PEDRAS,CONCEICAO DAS PEDRAS - MG,-22.16,-45.45,MG,16238.28195
1529,CONCEICAO DE IPANEMA,CONCEICAO DE IPANEMA - MG,-19.92,-41.69,MG,27877.59232
1530,CONCEICAO DO MATO DENTRO,CONCEICAO DO MATO DENTRO - MG,-19.03,-43.42,MG,121936.6436
1531,CONCEICAO DO PARA,CONCEICAO DO PARA - MG,-19.75,-44.89,MG,28960.52598
1532,CONCEICAO DO RIO VERDE,CONCEICAO DO RIO VERDE - MG,-21.88,-45.08,MG,68297.0981
1533,CONCEICAO DOS OUROS,CONCEICAO DOS OUROS - MG,-22.41,-45.79,MG,51558.41382
1534,CONEGO MARINHO,CONEGO MARINHO - MG,-15.29,-44.41,MG,38983.16468
1535,CONFINS,CONFINS - MG,-19.63,-43.98,MG,28389.57166
1536,CONGONHAL,CONGONHAL - MG,-22.15,-46.03,MG,52312.78745
1537,CONGONHAS,CONGONHAS - MG,-20.5,-43.85,MG,252364.0146
1538,CONGONHAS DO NORTE,CONGONHAS DO NORTE - MG,-18.8,-43.68,MG,32845.1756
1539,CONQUISTA,CONQUISTA - MG,-19.93,-47.54,MG,46745.35199
1540,CONSELHEIRO LAFAIETE,CONSELHEIRO LAFAIETE - MG,-20.66,-43.78,MG,613748.297
1541,CONSELHEIRO PENA,CONSELHEIRO PENA - MG,-19.17,-41.47,MG,138098.087
1542,CONSOLACAO,CONSOLACAO - MG,-22.55,-45.92,MG,11544.88026
1543,CONTAGEM,CONTAGEM - MG,-19.93,-44.05,MG,492350
1544,COQUEIRAL,COQUEIRAL - MG,-21.18,-45.44,MG,56686.1912
1545,CORACAO DE JESUS,CORACAO DE JESUS - MG,-16.68,-44.36,MG,169499.0506
1546,CORDISBURGO,CORDISBURGO - MG,-19.12,-44.32,MG,53418.67992
1547,CORDISLANDIA,CORDISLANDIA - MG,-21.79,-45.7,MG,19968.69345
1548,CORINTO,CORINTO - MG,-18.38,-44.45,MG,167832.6161
1549,COROACI,COROACI - MG,-18.62,-42.28,MG,64749.29753
1550,COROMANDEL,COROMANDEL - MG,-18.47,-47.2,MG,177432.5689
1551,CORONEL FABRICIANO,CORONEL FABRICIANO - MG,-19.51,-42.62,MG,647178.2321
1552,CORONEL MURTA,CORONEL MURTA - MG,-16.61,-42.18,MG,67892.94138
1553,CORONEL PACHECO,CORONEL PACHECO - MG,-21.58,-43.26,MG,20668.07632
1554,CORONEL XAVIER CHAVES,CORONEL XAVIER CHAVES - MG,-21.02,-44.22,MG,19815.92473
1555,CORREGO DANTA,CORREGO DANTA - MG,-19.82,-45.9,MG,23865.54976
1556,CORREGO DO BOM JESUS,CORREGO DO BOM JESUS - MG,-22.63,-46.02,MG,27053.61498
1557,CORREGO FUNDO,CORREGO FUNDO - MG,-20.44,-45.55,MG,33447.44922
1558,CORREGO NOVO,CORREGO NOVO - MG,-19.83,-42.39,MG,25020.08161
1559,COUTO DE MAGALHAES DE MINAS,COUTO DE MAGALHAES DE MINAS - MG,-18.07,-43.47,MG,27989.61136
1560,CRISOLITA,CRISOLITA - MG,-17.23,-40.91,MG,35584.72421
1561,CRISTAIS,CRISTAIS - MG,-20.87,-45.51,MG,58794.078
1562,CRISTALIA,CRISTALIA - MG,-16.8,-42.86,MG,31153.64657
1563,CRISTIANO OTONI,CRISTIANO OTONI - MG,-20.83,-43.8,MG,30895.2067
1564,CRISTINA,CRISTINA - MG,-22.21,-45.26,MG,70847.08836
1565,CRUCILANDIA,CRUCILANDIA - MG,-20.38,-44.33,MG,28591.8989
1566,CRUZEIRO DA FORTALEZA,CRUZEIRO DA FORTALEZA - MG,-18.94,-46.67,MG,22146.60866
1567,CRUZILIA,CRUZILIA - MG,-21.83,-44.8,MG,90175.60567
1568,CUPARAQUE,CUPARAQUE - MG,-18.96,-41.09,MG,29341.21375
1569,CURRAL DE DENTRO,CURRAL DE DENTRO - MG,-15.93,-41.84,MG,32466.47099
1570,CURVELO,CURVELO - MG,-18.75,-44.43,MG,431738.5987
1571,DATAS,DATAS - MG,-18.44,-43.65,MG,34285.08079
1572,DELFIM MOREIRA,DELFIM MOREIRA - MG,-22.5,-45.28,MG,50527.00061
1573,DELFINOPOLIS,DELFINOPOLIS - MG,-20.34,-46.85,MG,42897.98507
1574,DELTA,DELTA - MG,-19.97,-47.77,MG,34438.49579
1575,DESCOBERTO,DESCOBERTO - MG,-21.46,-42.96,MG,28850.92268
1576,DESTERRO DE ENTRE RIOS,DESTERRO DE ENTRE RIOS - MG,-20.66,-44.33,MG,41204.93663
1577,DESTERRO DO MELO,DESTERRO DO MELO - MG,-21.14,-43.51,MG,20311.61004
1578,DIAMANTINA,DIAMANTINA - MG,-18.24,-43.6,MG,273462.0441
1579,DIOGO DE VASCONCELOS,DIOGO DE VASCONCELOS - MG,-20.48,-43.19,MG,23923.73635
1580,DIONISIO,DIONISIO - MG,-19.84,-42.77,MG,58601.32319
1581,DIVINESIA,DIVINESIA - MG,-20.99,-43,MG,19390.08871
1582,DIVINO,DIVINO - MG,-20.61,-42.14,MG,112890.4898
1583,DIVINO DAS LARANJEIRAS,DIVINO DAS LARANJEIRAS - MG,-18.77,-41.48,MG,33459.51797
1584,DIVINOLANDIA DE MINAS,DIVINOLANDIA DE MINAS - MG,-18.8,-42.59,MG,44632.70981
1585,DIVINOPOLIS,DIVINOPOLIS - MG,-20.13,-44.88,MG,1069128.458
1586,DIVISA ALEGRE,DIVISA ALEGRE - MG,-15.72,-41.34,MG,28814.2165
1587,DIVISA NOVA,DIVISA NOVA - MG,-21.51,-46.19,MG,33176.58776
1588,DIVISOPOLIS,DIVISOPOLIS - MG,-15.72,-41,MG,38769.24895
1589,DOM BOSCO,DOM BOSCO - MG,-16.65,-46.27,MG,28320.4634
1590,DOM CAVATI,DOM CAVATI - MG,-19.37,-42.1,MG,36931.21725
1591,DOM JOAQUIM,DOM JOAQUIM - MG,-18.96,-43.25,MG,33000.99362
1592,DOM SILVERIO,DOM SILVERIO - MG,-20.16,-42.96,MG,36065.46954
1593,DOM VICOSO,DOM VICOSO - MG,-22.25,-45.16,MG,21447.28545
1594,DONA EUZEBIA,DONA EUZEBIA - MG,-21.31,-42.81,MG,32297.50734
1595,DORES DE CAMPOS,DORES DE CAMPOS - MG,-21.1,-44.02,MG,53347.07266
1596,DORES DE GUANHAES,DORES DE GUANHAES - MG,-19.05,-42.92,MG,36952.82513
1597,DORES DO INDAIA,DORES DO INDAIA - MG,-19.46,-45.6,MG,101313.1422
1598,DORES DO TURVO,DORES DO TURVO - MG,-20.97,-43.18,MG,30844.85136
1599,DORESOPOLIS,DORESOPOLIS - MG,-20.28,-45.9,MG,9341.335493
1600,DOURADOQUARA,DOURADOQUARA - MG,-18.43,-47.6,MG,11186.87538
1601,DURANDE,DURANDE - MG,-20.2,-41.79,MG,42550.98133
1602,ELOI MENDES,ELOI MENDES - MG,-21.61,-45.56,MG,138081.2439
1603,ENGENHEIRO CALDAS,ENGENHEIRO CALDAS - MG,-19.21,-42.04,MG,52758.26546
1604,ENGENHEIRO NAVARRO,ENGENHEIRO NAVARRO - MG,-17.28,-43.95,MG,42011.7767
1605,ENTRE FOLHAS,ENTRE FOLHAS - MG,-19.62,-42.23,MG,30595.41746
1606,ENTRE RIOS DE MINAS,ENTRE RIOS DE MINAS - MG,-20.67,-44.06,MG,86570.99074
1607,ERVALIA,ERVALIA - MG,-20.84,-42.65,MG,105756.8066
1608,ESMERALDAS,ESMERALDAS - MG,-19.76,-44.31,MG,223078.0795
1609,ESPERA FELIZ,ESPERA FELIZ - MG,-20.65,-41.9,MG,128387.0867
1610,ESPINOSA,ESPINOSA - MG,-14.92,-42.81,MG,203176.3645
1611,ESPIRITO SANTO DO DOURADO,ESPIRITO SANTO DO DOURADO - MG,-22.04,-45.95,MG,27099.55602
1612,ESTIVA,ESTIVA - MG,-22.46,-46.01,MG,68599.50715
1613,ESTRELA DALVA,ESTRELA DALVA - MG,-21.74,-42.46,MG,19033.30449
1614,ESTRELA DO INDAIA,ESTRELA DO INDAIA - MG,-19.52,-45.78,MG,24123.80825
1615,ESTRELA DO SUL,ESTRELA DO SUL - MG,-18.74,-47.69,MG,43620.81041
1616,EUGENOPOLIS,EUGENOPOLIS - MG,-21.09,-42.18,MG,64526.80001
1617,EWBANK DA CAMARA,EWBANK DA CAMARA - MG,-21.55,-43.51,MG,23926.87261
1618,EXTREMA,EXTREMA - MG,-22.85,-46.31,MG,126966.8672
1619,FAMA,FAMA - MG,-21.4,-45.82,MG,13918.9206
1620,FARIA LEMOS,FARIA LEMOS - MG,-20.8,-42.03,MG,23540.86383
1621,FELICIO DOS SANTOS,FELICIO DOS SANTOS - MG,-18.07,-43.24,MG,37448.18637
1622,FELISBURGO,FELISBURGO - MG,-16.63,-40.76,MG,50367.35843
1623,FELIXLANDIA,FELIXLANDIA - MG,-18.75,-44.89,MG,83591.5397
1624,FERNANDES TOURINHO,FERNANDES TOURINHO - MG,-19.15,-42.08,MG,20290.97217
1625,FERROS,FERROS - MG,-19.23,-43.02,MG,79161.96398
1626,FERVEDOURO,FERVEDOURO - MG,-20.72,-42.27,MG,55179.10269
1627,FLORESTAL,FLORESTAL - MG,-19.88,-44.43,MG,34959.67967
1628,FORMIGA,FORMIGA - MG,-20.46,-45.42,MG,369209.782
1629,FORMOSO,FORMOSO - MG,-14.94,-46.23,MG,40831.99681
1630,FORTALEZA DE MINAS,FORTALEZA DE MINAS - MG,-20.84,-46.71,MG,24499.22495
1631,FORTUNA DE MINAS,FORTUNA DE MINAS - MG,-19.56,-44.44,MG,15053.06866
1632,FRANCISCO BADARO,FRANCISCO BADARO - MG,-16.99,-42.35,MG,63398.29417
1633,FRANCISCO DUMONT,FRANCISCO DUMONT - MG,-17.31,-44.23,MG,24746.90343
1634,FRANCISCO SA,FRANCISCO SA - MG,-16.47,-43.48,MG,150792.395
1635,FRANCISCOPOLIS,FRANCISCOPOLIS - MG,-17.96,-42,MG,45952.92098
1636,FREI GASPAR,FREI GASPAR - MG,-18.06,-41.42,MG,41353.7578
1637,FREI INOCENCIO,FREI INOCENCIO - MG,-18.54,-41.92,MG,50376.67756
1638,FREI LAGONEGRO,FREI LAGONEGRO - MG,-18.16,-42.76,MG,21729.80004
1639,FRONTEIRA,FRONTEIRA - MG,-20.26,-49.19,MG,56023.02933
1640,FRONTEIRA DOS VALES,FRONTEIRA DOS VALES - MG,-16.89,-40.92,MG,33571.95886
1641,FRUTA DE LEITE,FRUTA DE LEITE - MG,-16.13,-42.53,MG,45020.80449
1642,FRUTAL,FRUTAL - MG,-20.02,-48.94,MG,315797.2346
1643,FUNILANDIA,FUNILANDIA - MG,-19.36,-44.05,MG,19238.84456
1644,GALILEIA,GALILEIA - MG,-18.99,-41.53,MG,46787.71259
1645,GAMELEIRAS,GAMELEIRAS - MG,-15.08,-43.12,MG,31875.09123
1646,GLAUCILANDIA,GLAUCILANDIA - MG,-16.85,-43.69,MG,15549.20389
1647,GOIABEIRA,GOIABEIRA - MG,-18.98,-41.22,MG,17046.36467
1648,GOIANA,GOIANA - MG,-21.53,-43.2,MG,20008.16295
1649,GONCALVES,GONCALVES - MG,-22.65,-45.85,MG,21977.63161
1650,GONZAGA,GONZAGA - MG,-18.82,-42.47,MG,39097.19583
1651,GOUVEA,GOUVEA - MG,-18.45,-43.74,MG,78572.01925
1652,GOVERNADOR VALADARES,GOVERNADOR VALADARES - MG,-18.85,-41.94,MG,1484398.931
1653,GRAO MOGOL,GRAO MOGOL - MG,-16.55,-42.89,MG,84297.79808
1654,GRUPIARA,GRUPIARA - MG,-18.49,-47.72,MG,9511.442634
1655,GUANHAES,GUANHAES - MG,-18.77,-42.93,MG,177883.7862
1656,GUAPE,GUAPE - MG,-20.76,-45.91,MG,89021.24267
1657,GUARACIABA,GUARACIABA - MG,-20.57,-43,MG,67869.02131
1658,GUARACIAMA,GUARACIAMA - MG,-17.01,-43.67,MG,28364.92816
1659,GUARANESIA,GUARANESIA - MG,-21.29,-46.8,MG,111429.0438
1660,GUARANI,GUARANI - MG,-21.35,-43.04,MG,53227.74738
1661,GUARARA,GUARARA - MG,-21.73,-43.03,MG,27038.16263
1662,GUARDA-MOR,GUARDA-MOR - MG,-17.77,-47.09,MG,43905.85066
1663,GUAXUPE,GUAXUPE - MG,-21.3,-46.71,MG,295763.5737
1664,GUIDOVAL,GUIDOVAL - MG,-21.15,-42.79,MG,46351.09778
1665,GUIMARANIA,GUIMARANIA - MG,-18.84,-46.79,MG,38857.11066
1666,GUIRICEMA,GUIRICEMA - MG,-21,-42.71,MG,58629.93732
1667,GURINHATA,GURINHATA - MG,-19.21,-49.78,MG,44175.14594
1668,HELIODORA,HELIODORA - MG,-22.06,-45.54,MG,36649.13301
1669,IAPU,IAPU - MG,-19.43,-42.21,MG,64020.01863
1670,IBERTIOGA,IBERTIOGA - MG,-21.43,-43.96,MG,34073.88651
1671,IBIA,IBIA - MG,-19.47,-46.53,MG,127768.9333
1672,IBIAI,IBIAI - MG,-16.86,-44.91,MG,44948.30433
1673,IBIRACATU,IBIRACATU - MG,-15.66,-44.16,MG,36138.66189
1674,IBIRACI,IBIRACI - MG,-20.46,-47.12,MG,58178.66733
1675,IBIRITE,IBIRITE - MG,-20.02,-44.05,MG,674762.7474
1676,IBITIURA DE MINAS,IBITIURA DE MINAS - MG,-22.06,-46.44,MG,18977.16399
1677,IBITURUNA,IBITURUNA - MG,-21.15,-44.74,MG,18761.41194
1678,ICARAI DE MINAS,ICARAI DE MINAS - MG,-16.21,-44.9,MG,55307.0611
1679,IGARAPE,IGARAPE - MG,-20.07,-44.3,MG,107899.7113
1680,IGARATINGA,IGARATINGA - MG,-19.95,-44.7,MG,46881.13092
1681,IGUATAMA,IGUATAMA - MG,-20.17,-45.71,MG,53514.42751
1682,IJACI,IJACI - MG,-21.17,-44.92,MG,33067.28705
1683,ILICINEA,ILICINEA - MG,-20.93,-45.83,MG,66941.56013
1684,IMBE DE MINAS,IMBE DE MINAS - MG,-19.59,-41.97,MG,30382.40451
1685,INCONFIDENTES,INCONFIDENTES - MG,-22.31,-46.32,MG,39799.9547
1686,INDAIABIRA,INDAIABIRA - MG,-15.49,-42.19,MG,45841.91765
1687,INDIANOPOLIS,INDIANOPOLIS - MG,-19.03,-47.91,MG,34970.45111
1688,INGAI,INGAI - MG,-21.4,-44.91,MG,16175.56422
1689,INHAPIM,INHAPIM - MG,-19.54,-42.12,MG,161241.296
1690,INHAUMA,INHAUMA - MG,-19.49,-44.39,MG,29757.9792
1691,INIMUTABA,INIMUTABA - MG,-18.72,-44.36,MG,36304.88151
1692,IPABA,IPABA - MG,-19.41,-42.41,MG,92053.56579
1693,IPANEMA,IPANEMA - MG,-19.8,-41.71,MG,104969.8033
1694,IPATINGA,IPATINGA - MG,-19.46,-42.53,MG,1346851.586
1695,IPIACU,IPIACU - MG,-18.69,-49.94,MG,24393.79933
1696,IPUIUNA,IPUIUNA - MG,-22.09,-46.19,MG,54163.5903
1697,IRAI DE MINAS,IRAI DE MINAS - MG,-18.98,-47.46,MG,30909.08628
1698,ITABIRA,ITABIRA - MG,-19.61,-43.22,MG,589730.5653
1699,ITABIRINHA DE MANTENA,ITABIRINHA DE MANTENA - MG,-18.56,-41.23,MG,60121.46154
1700,ITABIRITO,ITABIRITO - MG,-20.25,-43.8,MG,220276.3347
1701,ITACAMBIRA,ITACAMBIRA - MG,-17.06,-43.3,MG,30511.46073
1702,ITACARAMBI,ITACARAMBI - MG,-15.1,-44.09,MG,106996.3699
1703,ITAGUARA,ITAGUARA - MG,-20.39,-44.48,MG,72488.46212
1704,ITAIPE,ITAIPE - MG,-17.4,-41.66,MG,65007.70159
1705,ITAJUBA,ITAJUBA - MG,-22.42,-45.45,MG,532055.3465
1706,ITAMARANDIBA,ITAMARANDIBA - MG,-17.85,-42.85,MG,174269.2777
1707,ITAMARATI DE MINAS,ITAMARATI DE MINAS - MG,-21.41,-42.81,MG,24301.90121
1708,ITAMBACURI,ITAMBACURI - MG,-18.03,-41.68,MG,143282.4621
1709,ITAMBE DO MATO DENTRO,ITAMBE DO MATO DENTRO - MG,-19.41,-43.32,MG,17432.37926
1710,ITAMOGI,ITAMOGI - MG,-21.07,-47.04,MG,65460.66164
1711,ITAMONTE,ITAMONTE - MG,-22.28,-44.87,MG,78073.38757
1712,ITANHANDU,ITANHANDU - MG,-22.29,-44.93,MG,77933.91942
1713,ITANHOMI,ITANHOMI - MG,-19.17,-41.86,MG,78349.03598
1714,ITAOBIM,ITAOBIM - MG,-16.56,-41.5,MG,139356.7721
1715,ITAPAGIPE,ITAPAGIPE - MG,-19.9,-49.38,MG,73346.15227
1716,ITAPECERICA,ITAPECERICA - MG,-20.47,-45.12,MG,134112.8192
1717,ITAPEVA,ITAPEVA - MG,-22.76,-46.22,MG,40317.23103
1718,ITATIAIUCU,ITATIAIUCU - MG,-20.19,-44.42,MG,50394.26933
1719,ITAU DE MINAS,ITAU DE MINAS - MG,-20.73,-46.75,MG,83789.83694
1720,ITAUNA,ITAUNA - MG,-20.07,-44.57,MG,440248.3526
1721,ITAVERAVA,ITAVERAVA - MG,-20.67,-43.61,MG,45615.68359
1722,ITINGA,ITINGA - MG,-16.61,-41.76,MG,92480.39638
1723,ITUETA,ITUETA - MG,-19.39,-41.17,MG,39711.67943
1724,ITUIUTABA,ITUIUTABA - MG,-18.96,-49.46,MG,526560.1887
1725,ITUMIRIM,ITUMIRIM - MG,-21.31,-44.87,MG,43432.90599
1726,ITURAMA,ITURAMA - MG,-19.72,-50.19,MG,164929.9758
1727,ITUTINGA,ITUTINGA - MG,-21.29,-44.65,MG,27484.30638
1728,JABOTICATUBAS,JABOTICATUBAS - MG,-19.51,-43.74,MG,76162.74043
1729,JACINTO,JACINTO - MG,-16.14,-40.29,MG,82937.20172
1730,JACUI,JACUI - MG,-21.01,-46.74,MG,49539.49765
1731,JACUTINGA,JACUTINGA - MG,-22.28,-46.61,MG,103751.9852
1732,JAGUARACU,JAGUARACU - MG,-19.64,-42.75,MG,15720.12422
1733,JAIBA,JAIBA - MG,-15.33,-43.67,MG,152236.7202
1734,JAMPRUCA,JAMPRUCA - MG,-18.46,-41.8,MG,31317.64156
1735,JANAUBA,JANAUBA - MG,-15.8,-43.3,MG,359158.9651
1736,JANUARIA,JANUARIA - MG,-15.48,-44.36,MG,420231.6075
1737,JAPARAIBA,JAPARAIBA - MG,-20.14,-45.5,MG,20888.23029
1738,JAPONVAR,JAPONVAR - MG,-15.99,-44.27,MG,39651.36357
1739,JECEABA,JECEABA - MG,-20.53,-43.98,MG,36537.44739
1740,JENIPAPO DE MINAS,JENIPAPO DE MINAS - MG,-17.08,-42.25,MG,48491.60062
1741,JEQUERI,JEQUERI - MG,-20.45,-42.66,MG,84666.54081
1742,JEQUITAI,JEQUITAI - MG,-17.23,-44.44,MG,53184.34636
1743,JEQUITIBA,JEQUITIBA - MG,-19.23,-44.02,MG,32901.05187
1744,JEQUITINHONHA,JEQUITINHONHA - MG,-16.43,-41,MG,146057.833
1745,JESUANIA,JESUANIA - MG,-21.99,-45.29,MG,28516.81196
1746,JOAIMA,JOAIMA - MG,-16.65,-41.03,MG,90277.08355
1747,JOANESIA,JOANESIA - MG,-19.17,-42.67,MG,43935.348
1748,JOAO MONLEVADE,JOAO MONLEVADE - MG,-19.81,-43.17,MG,380095.0174
1749,JOAO PINHEIRO,JOAO PINHEIRO - MG,-17.74,-46.17,MG,248542.8858
1750,JOAQUIM FELICIO,JOAQUIM FELICIO - MG,-17.75,-44.17,MG,27574.2325
1751,JORDANIA,JORDANIA - MG,-15.9,-40.17,MG,63260.03264
1752,JOSE GONCALVES DE MINAS,JOSE GONCALVES DE MINAS - MG,-16.9,-42.6,MG,28204.73512
1753,JOSE RAYDAN,JOSE RAYDAN - MG,-18.21,-42.49,MG,24644.84874
1754,JOSENOPOLIS,JOSENOPOLIS - MG,-16.54,-42.51,MG,26242.26444
1755,JUATUBA,JUATUBA - MG,-19.95,-44.34,MG,80349.57057
1756,JUIZ DE FORA,JUIZ DE FORA - MG,-21.76,-43.35,MG,424479
1757,JURAMENTO,JURAMENTO - MG,-16.84,-43.58,MG,25954.60196
1758,JURUAIA,JURUAIA - MG,-21.25,-46.57,MG,46283.59569
1759,JUVENILIA,JUVENILIA - MG,-14.26,-44.16,MG,43395.86231
1760,LADAINHA,LADAINHA - MG,-17.63,-41.73,MG,100341.4874
1761,LAGAMAR,LAGAMAR - MG,-18.17,-46.8,MG,50430.34394
1762,LAGOA DA PRATA,LAGOA DA PRATA - MG,-20.02,-45.54,MG,211593.3515
1763,LAGOA DOS PATOS,LAGOA DOS PATOS - MG,-16.98,-44.58,MG,27658.67277
1764,LAGOA DOURADA,LAGOA DOURADA - MG,-20.91,-44.07,MG,74875.75184
1765,LAGOA FORMOSA,LAGOA FORMOSA - MG,-18.77,-46.4,MG,106793.6314
1766,LAGOA GRANDE,LAGOA GRANDE - MG,-17.83,-46.51,MG,46304.90338
1767,LAGOA SANTA,LAGOA SANTA - MG,-19.62,-43.89,MG,203660.3342
1768,LAJINHA,LAJINHA - MG,-20.15,-41.62,MG,100694.4183
1769,LAMBARI,LAMBARI - MG,-21.97,-45.35,MG,106269.2434
1770,LAMIM,LAMIM - MG,-20.79,-43.47,MG,21066.0149
1771,LARANJAL,LARANJAL - MG,-21.37,-42.47,MG,36405.18575
1772,LASSANCE,LASSANCE - MG,-17.88,-44.57,MG,39181.10782
1773,LAVRAS,LAVRAS - MG,-21.24,-45,MG,473522.927
1774,LEANDRO FERREIRA,LEANDRO FERREIRA - MG,-19.71,-45.02,MG,21204.85118
1775,LEME DO PRADO,LEME DO PRADO - MG,-17.08,-42.69,MG,27591.58358
1776,LEOPOLDINA,LEOPOLDINA - MG,-21.53,-42.64,MG,314325.9327
1777,LIBERDADE,LIBERDADE - MG,-22.02,-44.32,MG,37005.44237
1778,LIMA DUARTE,LIMA DUARTE - MG,-21.84,-43.79,MG,92456.60559
1779,LIMEIRA DO OESTE,LIMEIRA DO OESTE - MG,-19.55,-50.58,MG,43349.9169
1780,LONTRA,LONTRA - MG,-15.9,-44.3,MG,46397.36751
1781,LUISBURGO,LUISBURGO - MG,-20.44,-42.1,MG,31979.94341
1782,LUISLANDIA,LUISLANDIA - MG,-16.11,-44.58,MG,34399.97291
1783,LUMINARIAS,LUMINARIAS - MG,-21.51,-44.9,MG,34762.4192
1784,LUZ,LUZ - MG,-19.8,-45.68,MG,101991.6652
1785,MACHACALIS,MACHACALIS - MG,-17.07,-40.71,MG,40570.4398
1786,MACHADO,MACHADO - MG,-21.67,-45.92,MG,211366.5009
1787,MADRE DE DEUS DE MINAS,MADRE DE DEUS DE MINAS - MG,-21.48,-44.33,MG,29839.64511
1788,MALACACHETA,MALACACHETA - MG,-17.84,-42.07,MG,118192.4017
1789,MAMONAS,MAMONAS - MG,-15.05,-42.94,MG,40343.12719
1790,MANGA,MANGA - MG,-14.75,-43.93,MG,128073.5217
1791,MANHUACU,MANHUACU - MG,-20.25,-42.03,MG,383971.356
1792,MANHUMIRIM,MANHUMIRIM - MG,-20.35,-41.95,MG,109980.2811
1793,MANTENA,MANTENA - MG,-18.78,-40.98,MG,190569.0197
1794,MAR DE ESPANHA,MAR DE ESPANHA - MG,-21.86,-43.01,MG,67456.66787
1795,MARAVILHAS,MARAVILHAS - MG,-19.51,-44.67,MG,40322.24434
1796,MARIA DA FE,MARIA DA FE - MG,-22.3,-45.37,MG,95467.56157
1797,MARIANA,MARIANA - MG,-20.37,-43.41,MG,248103.8616
1798,MARILAC,MARILAC - MG,-18.5,-42.08,MG,26390.85048
1799,MARIO CAMPOS,MARIO CAMPOS - MG,-20.05,-44.18,MG,44174.64827
